Date;Gold;Silver;Platinum;Palladium
14.07.2021 0:00:00;4304,58;62,16;2662,01;6757,41
13.07.2021 0:00:00;4326,22;62,21;2627,48;6718,67
10.07.2021 0:00:00;4317,67;62,27;2588,11;6739,63
09.07.2021 0:00:00;4376,42;63,11;2603,73;6844,17
08.07.2021 0:00:00;4295,95;62,82;2602,45;6745,42
07.07.2021 0:00:00;4258,37;62,68;2614,67;6687,42
06.07.2021 0:00:00;4223,75;62,6;2598,94;6591,68
03.07.2021 0:00:00;4221,29;61,94;2589,34;6577,49
02.07.2021 0:00:00;4158,37;61,56;2540,97;6471,96
01.07.2021 0:00:00;4109,93;60,24;2464,37;6249,77
30.06.2021 0:00:00;4117,54;60,39;2505,99;6207,96
29.06.2021 0:00:00;4117,26;60,54;2566,55;6123,97
26.06.2021 0:00:00;4137,67;60,63;2552,33;6134,87
25.06.2021 0:00:00;4139,56;60,44;2513,69;6078,42
24.06.2021 0:00:00;4165,39;60,62;2537,22;6072,04
23.06.2021 0:00:00;4185,05;61,09;2493,48;6064,34
22.06.2021 0:00:00;4194,8;61,08;2447,53;5902,3
19.06.2021 0:00:00;4161,79;61,27;2507,73;5939,62
18.06.2021 0:00:00;4211,68;62;2596,83;6445,44
17.06.2021 0:00:00;4303,16;64,17;2665,59;6394,17
16.06.2021 0:00:00;4304,46;63,8;2674,34;6355,59
12.06.2021 0:00:00;4360,1;64,85;2664,06;6381,31
11.06.2021 0:00:00;4368,5;64,2;2648,49;6413,47
10.06.2021 0:00:00;4381,15;63,92;2681,37;6477,46
09.06.2021 0:00:00;4430,04;64,89;2734,75;6588,69
08.06.2021 0:00:00;4412,9;64,67;2731,61;6663,73
05.06.2021 0:00:00;4404,19;64,47;2716,18;6673,84
04.06.2021 0:00:00;4456,92;65,38;2795,95;6703,69
03.06.2021 0:00:00;4480,03;65,56;2804,89;6718,04
02.06.2021 0:00:00;4492,16;66,43;2795,09;6748,73
01.06.2021 0:00:00;4477,3;65,11;2757,15;6638,36
29.05.2021 0:00:00;4477,3;65,37;2796,46;6690,7
28.05.2021 0:00:00;4475,59;65,31;2810,46;6534,9
27.05.2021 0:00:00;4498,4;66,43;2839,4;6571,73
26.05.2021 0:00:00;4442,93;65,02;2789,22;6449,18
25.05.2021 0:00:00;4436,75;65,35;2751,62;6614,29
22.05.2021 0:00:00;4441,88;65,77;2822,23;6699,55
21.05.2021 0:00:00;4423,47;65,64;2851,41;6772,4
20.05.2021 0:00:00;4405,96;65,56;2880,45;6824,5
19.05.2021 0:00:00;4424,77;67,47;2931,05;6937,84
18.05.2021 0:00:00;4389,05;65,56;2922,95;6888,28
15.05.2021 0:00:00;4361,99;64,78;2921,47;6942,07
14.05.2021 0:00:00;4337,3;64,12;2895,04;6837,17
13.05.2021 0:00:00;4364,77;65,25;2939,84;6996,11
12.05.2021 0:00:00;4380,12;65,52;2975,47;7092,97
08.05.2021 0:00:00;4339,29;65,25;2979,46;6981,47
07.05.2021 0:00:00;4299,44;64,08;2961,16;7061,24
06.05.2021 0:00:00;4279,51;63,29;2958,03;7213,35
05.05.2021 0:00:00;4318,79;64,9;2995,41;7227,22
01.05.2021 0:00:00;4256,31;62,26;2909,25;7178,06
30.04.2021 0:00:00;4243,98;62,86;2905,61;7004,54
29.04.2021 0:00:00;4250,44;62,33;2953,85;7056,97
28.04.2021 0:00:00;4291,88;63,35;2990,74;7099,71
27.04.2021 0:00:00;4278;62,76;2971,15;6942,31
24.04.2021 0:00:00;4310,03;63,07;2933,22;6885,23
23.04.2021 0:00:00;4387,37;64,62;2955,79;6973
22.04.2021 0:00:00;4398,86;63,99;2934,14;6861,14
21.04.2021 0:00:00;4314,8;63,25;2935,19;6803,97
20.04.2021 0:00:00;4384,2;64;2988,33;6888,61
17.04.2021 0:00:00;4290,88;63,5;2905,2;6655,73
16.04.2021 0:00:00;4326,28;63,32;2947,71;6741,87
15.04.2021 0:00:00;4241,89;61,63;2871,24;6540,58
14.04.2021 0:00:00;4292,18;61,97;2908,48;6708,62
13.04.2021 0:00:00;4339,97;62,7;2955,53;6573,94
10.04.2021 0:00:00;4336,55;62,58;3009,37;6514,93
09.04.2021 0:00:00;4322,38;62,79;3046,51;6479,73
08.04.2021 0:00:00;4340,8;62,47;3095,57;6571,2
07.04.2021 0:00:00;4250,9;61,49;2961,55;6566,48
06.04.2021 0:00:00;4251,11;59,89;2953,03;6502,09
03.04.2021 0:00:00;4221,6;59,47;2932,53;6456,95
02.04.2021 0:00:00;4181,97;59,26;2897,9;6409,99
01.04.2021 0:00:00;4098,42;58,36;2854,93;6388,32
31.03.2021 0:00:00;4129,57;59,24;2869,55;6221,01
30.03.2021 0:00:00;4202,9;60,53;2857,27;6399,61
27.03.2021 0:00:00;4208,46;60,09;2827,8;6415,53
26.03.2021 0:00:00;4234,9;61,7;2858,04;6463,05
25.03.2021 0:00:00;4245,63;62,73;2898,89;6431,92
24.03.2021 0:00:00;4213,91;62,36;2841,98;6263,02
23.03.2021 0:00:00;4157,94;62,79;2811,3;6318,22
20.03.2021 0:00:00;4140,83;62,28;2855,58;6214,1
19.03.2021 0:00:00;4106,63;61,22;2860,74;6185,65
18.03.2021 0:00:00;4082,32;61,3;2843,84;5852,19
17.03.2021 0:00:00;4063,59;61,22;2829,01;5604,06
16.03.2021 0:00:00;4068,26;59,98;2865,37;5591,82
13.03.2021 0:00:00;4026,77;62,04;2772,2;5525,49
12.03.2021 0:00:00;4103,11;60,6;2890,03;5505,94
11.03.2021 0:00:00;4074,08;61,31;2780,33;5474,96
10.03.2021 0:00:00;4065,79;60,06;2793,54;5529,78
06.03.2021 0:00:00;4058,47;62,11;2677,65;5594,6
05.03.2021 0:00:00;4056,73;63,07;2737,62;5553,52
04.03.2021 0:00:00;4082,19;62,07;2850,6;5554,65
03.03.2021 0:00:00;4144,35;64,47;2838,82;5605,72
02.03.2021 0:00:00;4158,78;63,53;2871;5580,11
27.02.2021 0:00:00;4224,26;66,83;2893,39;5693,45
26.02.2021 0:00:00;4233,41;65,54;2959,92;5733,22
25.02.2021 0:00:00;4285,38;66,31;2994,85;5612,67
21.02.2021 0:00:00;4248,68;64,1;3077,93;5620,67
20.02.2021 0:00:00;4218,41;64,6;3022,75;5591,25
19.02.2021 0:00:00;4228,69;64,32;3005,24;5633,35
18.02.2021 0:00:00;4242,54;65,4;2912,4;5620,83
17.02.2021 0:00:00;4296,61;64,96;3077,34;5638,65
16.02.2021 0:00:00;4283,63;63,8;3026,32;5663,74
13.02.2021 0:00:00;4321,67;64,48;2916,77;5591,07
12.02.2021 0:00:00;4367,35;64,57;2971,33;5617,78
11.02.2021 0:00:00;4377,11;65,62;2884,91;5579,87
10.02.2021 0:00:00;4400,3;64,77;2816,69;5602,4
09.02.2021 0:00:00;4325,35;63,34;2743,26;5605,89
06.02.2021 0:00:00;4367,4;63,75;2687,74;5597,65
05.02.2021 0:00:00;4410,67;65,25;2639,27;5495,23
04.02.2021 0:00:00;4487,73;66,84;2675,96;5488,89
03.02.2021 0:00:00;4507,67;72,2;2689,33;5532,4
02.02.2021 0:00:00;4509,9;66,55;2709,15;5529,96
30.01.2021 0:00:00;4542,04;61,79;2664,87;5712,18
29.01.2021 0:00:00;4506,07;61,69;2589,03;5636,11
28.01.2021 0:00:00;4454,61;61,28;2622,49;5592,38
27.01.2021 0:00:00;4506,49;62,34;2643,29;5653,78
26.01.2021 0:00:00;4465,88;60,94;2661,81;5699,07
23.01.2021 0:00:00;4431,54;61,84;2632,24;5649,4
22.01.2021 0:00:00;4405,56;59,67;2644,3;5630,64
21.01.2021 0:00:00;4373,92;59,66;2584,82;5589,45
20.01.2021 0:00:00;4368,68;58,94;2607,32;5650,77
19.01.2021 0:00:00;4361,69;60,04;2566,19;5650,84
16.01.2021 0:00:00;4383,49;59,7;2589,17;5655,97
15.01.2021 0:00:00;4366,17;60,11;2631,21;5658,65
14.01.2021 0:00:00;4378,94;60,34;2541,22;5652,15
13.01.2021 0:00:00;4445,57;59,74;2540,53;5687,54
12.01.2021 0:00:00;4426,84;63,83;2498,75;5653,93
01.01.2021 0:00:00;4491,66;62,48;2553,29;5629,12
31.12.2020 0:00:00;4459,48;62,11;2522,42;5562,62
30.12.2020 0:00:00;4437,61;61,05;2465,21;5612,44
29.12.2020 0:00:00;4438,08;61,1;2419,84;5517,53
26.12.2020 0:00:00;4436,55;61,08;2419,01;5515,62
25.12.2020 0:00:00;4505,61;60,91;2456,66;5601,48
24.12.2020 0:00:00;4529,59;62,52;2459,96;5667,14
23.12.2020 0:00:00;4538,16;63,36;2432,24;5603,36
22.12.2020 0:00:00;4487,62;61,98;2439,17;5567,37
19.12.2020 0:00:00;4428,96;60,67;2446,72;5503,94
18.12.2020 0:00:00;4392,15;58,96;2463,61;5527,88
17.12.2020 0:00:00;4393,73;57,16;2473,81;5507,07
16.12.2020 0:00:00;4354,98;56,33;2413,27;5490,07
15.12.2020 0:00:00;4267,87;55,84;2382,18;5448,99
12.12.2020 0:00:00;4310,63;56,15;2402,56;5470,42
11.12.2020 0:00:00;4346,88;57,08;2393,61;5422,35
10.12.2020 0:00:00;4383,23;57,68;2418,11;5439,57
09.12.2020 0:00:00;4415,66;56,25;2420,38;5480,2
08.12.2020 0:00:00;4375,28;57,83;2454,05;5557,43
05.12.2020 0:00:00;4390,93;57,7;2501,87;5591,02
04.12.2020 0:00:00;4436,04;57,98;2470,91;5821,87
03.12.2020 0:00:00;4456,05;57,22;2440,8;5878,35
02.12.2020 0:00:00;4407,43;54,35;2409,59;5889,01
01.12.2020 0:00:00;4341,07;56,68;2359,24;5889,52
28.11.2020 0:00:00;4409,74;56,97;2336,51;5829,09
27.11.2020 0:00:00;4402,52;56,79;2336,07;5732,24
26.11.2020 0:00:00;4388,45;56,19;2339,15;5670,73
25.11.2020 0:00:00;4431,61;58,27;2283,93;5689,11
24.11.2020 0:00:00;4539,73;58,86;2313,95;5687,45
21.11.2020 0:00:00;4562,65;58,6;2324,09;5706,37
20.11.2020 0:00:00;4554,16;59,62;2304,79;5678,6
19.11.2020 0:00:00;4582,44;60,12;2279,99;5712,18
18.11.2020 0:00:00;4622,23;59,49;2270,17;5712,2
17.11.2020 0:00:00;4680,45;59,96;2243,03;5799,24
14.11.2020 0:00:00;4669,38;60,2;2212,62;5842,32
13.11.2020 0:00:00;4631,33;60,02;2164,43;5838,74
12.11.2020 0:00:00;4596,93;59,28;2173,26;6039,56
11.11.2020 0:00:00;4605,21;61,66;2149,21;6098,86
10.11.2020 0:00:00;4842,82;63,78;2236,54;6044,1
07.11.2020 0:00:00;4834,1;60,97;2235,95;5933,59
06.11.2020 0:00:00;4834,96;60,47;2239,9;5902,45
04.11.2020 0:00:00;4886,56;61,67;2242,85;5789,75
03.11.2020 0:00:00;4887,7;61,2;2222,68;5787,27
31.10.2020 0:00:00;4784,4;58,7;2183,31;5677,62
30.10.2020 0:00:00;4759,17;60,67;2195,94;5662,27
29.10.2020 0:00:00;4729,52;60,93;2179,19;5812,01
28.10.2020 0:00:00;4667,69;59,68;2145,92;5813,41
27.10.2020 0:00:00;4673,64;60,85;2189,85;5807,64
24.10.2020 0:00:00;4697,13;60,87;2192,95;5853,59
23.10.2020 0:00:00;4750,35;61,74;2210,56;5957,61
22.10.2020 0:00:00;4752,55;61,97;2169,54;5943,94
21.10.2020 0:00:00;4767,05;61,59;2138,03;5876,45
20.10.2020 0:00:00;4785,15;62,23;2184,64;5874,97
17.10.2020 0:00:00;4783,12;61,06;2163,21;5883,02
16.10.2020 0:00:00;4740,64;59,98;2142,65;5881,64
15.10.2020 0:00:00;4711,68;60,06;2176,4;5875,79
14.10.2020 0:00:00;4772,77;61,96;2164,25;6003,24
13.10.2020 0:00:00;4754,14;62,06;2199,02;6067,12
10.10.2020 0:00:00;4736,09;60,22;2176,86;5968,41
09.10.2020 0:00:00;4737,92;60,02;2169,37;5931,95
08.10.2020 0:00:00;4740,23;59,08;2169,26;5925,29
07.10.2020 0:00:00;4827,56;61,34;2244,03;5926,86
06.10.2020 0:00:00;4771,68;60,07;2212,96;5814,99
03.10.2020 0:00:00;4786,39;59,92;2244,56;5802,22
02.10.2020 0:00:00;4709,54;58,68;2233,59;5769,07
01.10.2020 0:00:00;4770,62;60,1;2208,76;5848,66
30.09.2020 0:00:00;4822,55;61,06;2239,11;5802,74
29.09.2020 0:00:00;4681,68;57,9;2157,53;5632,84
26.09.2020 0:00:00;4618,65;55,89;2116,62;5522,48
25.09.2020 0:00:00;4592,32;55,14;2081,83;5520,96
24.09.2020 0:00:00;4635,01;57,92;2096,44;5479,23
23.09.2020 0:00:00;4666,73;59,59;2172,62;5559,07
22.09.2020 0:00:00;4720,43;64,44;2261,33;5737,66
19.09.2020 0:00:00;4715,5;65,28;2274,83;5659,33
18.09.2020 0:00:00;4680,61;64,66;2299,08;5717,49
17.09.2020 0:00:00;4733,17;65,96;2363,21;5721,33
16.09.2020 0:00:00;4746,61;66,59;2332,75;5630,03
15.09.2020 0:00:00;4665,67;64,58;2258,01;5582,56
12.09.2020 0:00:00;4681,88;64,71;2239,21;5547,47
11.09.2020 0:00:00;4722,48;65,82;2241,28;5563,14
10.09.2020 0:00:00;4716,38;64,9;2228,08;5517,61
09.09.2020 0:00:00;4690,71;65,15;2220,06;5646,63
08.09.2020 0:00:00;4686,6;65,21;2201,86;5589,7
05.09.2020 0:00:00;4683,5;64,82;2187,53;5518,39
04.09.2020 0:00:00;4692,8;65,27;2215,26;5566,05
03.09.2020 0:00:00;4675,61;65,79;2222,64;5350
02.09.2020 0:00:00;4703,11;68,34;2247,52;5377,48
01.09.2020 0:00:00;4644,5;64,9;2206,75;5163,32
29.08.2020 0:00:00;4693,4;65,63;2231,7;5231,29
28.08.2020 0:00:00;4689,71;65,9;2256,81;5282,82
27.08.2020 0:00:00;4659,27;64,1;2239,17;5257,91
26.08.2020 0:00:00;4612,67;63,47;2208,77;5188,94
25.08.2020 0:00:00;4659,72;64,33;2215,55;5191,95
22.08.2020 0:00:00;4604,75;63,97;2172,72;5193,56
21.08.2020 0:00:00;4572,94;63,84;2208,14;5146,79
20.08.2020 0:00:00;4693,26;64,61;2241,67;5163,84
19.08.2020 0:00:00;4733,95;66,87;2294,79;5229,38
18.08.2020 0:00:00;4574,27;63,14;2240,39;5109,5
15.08.2020 0:00:00;4586,18;62,86;2224,47;5060,97
14.08.2020 0:00:00;4569,73;62,12;2224,52;5076,16
13.08.2020 0:00:00;4548,31;60,77;2208,58;5015,22
12.08.2020 0:00:00;4695,8;66,51;2239,01;5127,13
11.08.2020 0:00:00;4815,71;67,05;2305,51;5194,5
08.08.2020 0:00:00;4880,61;67,07;2305,95;5170,62
07.08.2020 0:00:00;4811,98;65,48;2294,27;5213,18
06.08.2020 0:00:00;4793,21;63,48;2245,29;5074,88
05.08.2020 0:00:00;4653,01;57,4;2177,58;4954,4
04.08.2020 0:00:00;4704,01;57,77;2160,13;5018,85
01.08.2020 0:00:00;4661,68;56,82;2143,52;4943,31
31.07.2020 0:00:00;4604,62;54,63;2141,68;4917,85
30.07.2020 0:00:00;4538,78;56,52;2194,67;5271,85
29.07.2020 0:00:00;4466,49;54,44;2141,16;5274,28
